prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
-938.0058270979644,"[33.59448673672377, 130.3510680144004]","(991, 6658)","(33.594461098061934, 130.35091610709023)","(33.594477197401964, 130.35106901875014)"
-948.7965089395004,"[33.59451526662669, 130.3511996940992]","(991, 6658)","(33.594477197401964, 130.35106901875014)","(33.59449122211968, 130.35120222563077)"
-961.1796050070693,"[33.59453185231759, 130.3513274133488]","(991, 994)","(33.59449122211968, 130.35120222563077)","(33.594505121712984, 130.3513304255082)"
-977.8040044761194,"[33.59455218891016, 130.351456201291]","(991, 994)","(33.594505121712984, 130.3513304255082)","(33.59451970731106, 130.35145986150576)"
-996.4047497607529,"[33.59456878507844, 130.3515804420508]","(67, 994)","(33.59451970731106, 130.35145986150576)","(33.59453401529092, 130.351584776192)"
-1009.8400647002734,"[33.5945740866322, 130.3516756604708]","(67, 994)","(33.59453401529092, 130.351584776192)","(33.59454578401721, 130.35167918846273)"
-1023.828832074968,"[33.59459048373028, 130.3518009280137]","(67, 994)","(33.59454578401721, 130.35167918846273)","(33.59456141089836, 130.3518045520151)"
-1027.8590033903777,"[33.59458145222961, 130.3519185680247]","(67, 994)","(33.59456141089836, 130.3518045520151)","(33.594575712465726, 130.35191928350065)"
-1031.3129069202655,"[33.59459225440732, 130.3520414048157]","(67, 994)","(33.594575712465726, 130.35191928350065)","(33.59459095537849, 130.3520415667429)"
-1034.780745376372,"[33.59461240240707, 130.3521983978621]","(67, 994)","(33.59459095537849, 130.3520415667429)","(33.59461053380555, 130.35219863078797)"
-1038.220905475498,"[33.59462880998253, 130.3523361963503]","(67, 994)","(33.59461053380555, 130.35219863078797)","(33.59462769896117, 130.3523363348419)"
-1044.7297299866148,"[33.59465900578871, 130.3524607304766]","(67, 6660)","(33.59462769896117, 130.3523363348419)","(33.5946437, 130.3524647)"
-1056.0883608368513,"[33.5946800757978, 130.3525718116484]","(6660, 6661)","(33.5946437, 130.3524647)","(33.5946552011133, 130.35257510266962)"
-1095.147567582907,"[33.59472444348373, 130.3526913085105]","(6660, 6661)","(33.5946552011133, 130.35257510266962)","(33.59467150231645, 130.3526983128407)"
-1152.7003977134543,"[33.59475353473387, 130.352813261186]","(6660, 6661)","(33.59467150231645, 130.3526983128407)","(33.59468786004008, 130.35282195021315)"
-1186.3443563999783,"[33.59475205336038, 130.3529296555511]","(6660, 6661)","(33.59468786004008, 130.35282195021315)","(33.59470296908004, 130.35293614959957)"
